jpg_link;AUTHOR;TITLE;TECHNIQUE;LOCATION;TYPE;SCHOOL;TIMEFRAME;CSS2_1;CSS2_2;CSS2_3;CSS2_4;CSS2_5;CSS2_6;CSS2_7;CSS2_8;CSS2_9;CSS3_1;CSS3_2;CSS3_3;CSS3_4;CSS3_5;CSS3_6;CSS3_7;CSS3_8;CSS3_9;ESA_1;ESA_2;ESA_3;ESA_4;ESA_5;ESA_6;ESA_7;ESA_8;ESA_9
http://www.wga.hu/art/w/weyden/rogier/05sevens/2sevens.jpg;WEYDEN, Rogier van der;Seven Sacraments (central panel);Oil on oak panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1401-1450;gray;gray;black;brown;green;gray;brown;brown;gray;darkslategray;grey;black;rosybrown;darkolivegreen;darkslategray;saddlebrown;sienna;dimgrey;#4b3830;#8b7a63;#231b1b;#afa18b;#644938;#3c2521;#66261f;#975938;#6f5f4c
http://www.wga.hu/art/w/weyden/rogier/05sevens/1sevens.jpg;WEYDEN, Rogier van der;Seven Sacraments (left wing);Oil on oak panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1401-1450;gray;brown;green;brown;brown;gray;brown;brown;black;dimgrey;rosybrown;darkolivegreen;wheat;brown;darkslategray;tan;sienna;black;#85694f;#ac8c69;#704b37;#e4d7bf;#9e392d;#4b3229;#c8ae89;#a56745;#1f1614
http://www.wga.hu/art/w/weyden/rogier/05sevens/3sevens.jpg;WEYDEN, Rogier van der;Seven Sacraments (right wing);Oil on oak panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1401-1450;gray;black;black;gray;brown;gray;gray;green;brown;darkslategray;black;black;darkslategray;saddlebrown;grey;dimgrey;darkolivegreen;tan;#402f2b;#130f0f;#231a19;#36221f;#5b2c27;#9b7d66;#775445;#574138;#c8b8a3
http://www.wga.hu/art/w/weyden/rogier/05sevens/0seven.jpg;WEYDEN, Rogier van der;Seven Sacraments Altarpiece;Oil on oak panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1401-1450;gray;black;black;gray;gray;brown;black;brown;green;darkslategray;black;black;dimgrey;darkslategray;tan;black;rosybrown;darkolivegreen;#494131;#010101;#342114;#7b6744;#3f2f1b;#d4c3a6;#1c1710;#a5906c;#604422
http://www.wga.hu/art/g/grimmer/abel/1spring.jpg;GRIMMER, Abel;Spring;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;landscape;Flemish;1601-1650;gray;black;brown;gray;gray;brown;black;brown;green;grey;black;rosybrown;darkslategray;darkslategray;tan;black;sienna;darkolivegreen;#a38265;#140d09;#c2a180;#37231c;#462d23;#d8c1a5;#271812;#825743;#593d30
http://www.wga.hu/art/e/eyck_van/jan/02page/26barbar.jpg;EYCK, Jan van;St Barbara;Grisaille on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1401-1450;brown;gray;brown;green;brown;gray;brown;brown;brown;tan;grey;tan;darkolivegreen;wheat;darkgray;rosybrown;tan;rosybrown;#ceb99d;#978265;#d9c4a9;#6e5c44;#e4d3be;#989897;#a9967b;#bfac91;#bea17c
http://www.wga.hu/art/m/massys/quentin/3/christop.jpg;MASSYS, Quentin;St Christopher;Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;brown;gray;black;brown;black;green;black;gray;brown;saddlebrown;darkslategray;black;tan;black;darkolivegreen;black;darkslategray;sienna;#772a1f;#2f2828;#191111;#cab798;#201818;#594b48;#321b17;#462b23;#a35643
http://www.wga.hu/art/r/reymersw/stjerome.jpg;REYMERSWAELE, Marinus van;St Jerome;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1501-1550;brown;gray;black;red;brown;gray;brown;brown;green;tan;dimgrey;black;indianred;sienna;darkslategray;wheat;sienna;darkolivegreen;#cba383;#73594c;#211312;#a3725e;#bb4c3d;#4b2725;#e6d2b8;#873f37;#643a34
http://www.wga.hu/art/m/massys/quentin/1/st_john1.jpg;MASSYS, Quentin;St John Altarpiece;Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;brown;gray;black;black;brown;gray;gray;gray;brown;rosybrown;darkslategray;black;black;saddlebrown;darkslategray;silver;dimgrey;saddlebrown;#b09d8e;#4c3c31;#2f1a10;#140b0c;#765331;#402817;#c2bebf;#957453;#5b3416
http://www.wga.hu/art/m/massys/quentin/1/st_john2.jpg;MASSYS, Quentin;St John Altarpiece (central panel);Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;brown;brown;black;brown;green;gray;gray;brown;brown;peru;saddlebrown;black;sienna;darkolivegreen;grey;darkslategray;bisque;tan;#ae8c61;#79392e;#291b1a;#8e6643;#684d3a;#7d7c7c;#4d312a;#eadec7;#c8b699
http://www.wga.hu/art/m/massys/quentin/1/st_john3.jpg;MASSYS, Quentin;St John Altarpiece (left wing);Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;black;green;green;gray;brown;black;brown;black;gray;black;darkolivegreen;darkolivegreen;darkslategray;sienna;black;tan;black;darkslategray;#291e1d;#524032;#573325;#46231d;#80513b;#1b1312;#c7b08e;#331b18;#3b2923
http://www.wga.hu/art/m/massys/quentin/1/st_john4.jpg;MASSYS, Quentin;St John Altarpiece (right wing);Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;brown;brown;green;brown;brown;brown;brown;gray;black;tan;peru;darkolivegreen;saddlebrown;sienna;sienna;saddlebrown;darkslategray;black;#d9c5a6;#b08558;#654736;#5d332a;#8b5437;#846446;#783b30;#462b28;#2c1b1e
http://www.wga.hu/art/v/vos_m/lukepain.jpg;VOS, Marten de;St Luke Painting the Virgin Mary;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1551-1600;green;black;brown;gray;gray;green;brown;brown;gray;darkolivegreen;black;sienna;dimgrey;darkslategray;darkolivegreen;rosybrown;saddlebrown;darkslategray;#71493e;#1e1511;#9d6957;#7d5a4e;#482d28;#573b34;#bd977f;#6e3932;#37231f
